roomNum,firstName,lastName,phoneNum,dateStart,dateEnd,numGuests,isAvailable
4,Alex,Fuentes,978-186-6791,6/24/22 14:44,12/6/22 15:34,0,TRUE
16,Edward,Evans,507-253-4320,11/8/22 10:48,9/3/22 15:11,3,FALSE
6,Cyrus,Keller,129-183-7967,8/3/22 22:26,1/5/22 9:46,2,TRUE
38,Xander,Ferguson,264-969-9806,10/25/22 9:47,12/7/22 23:42,4,FALSE
33,Ari,Christensen,750-970-0126,2/26/22 14:34,6/13/22 21:16,2,FALSE
34,Johnathan,Franco,942-967-9936,8/21/22 8:01,10/27/22 21:25,1,FALSE
5,Erik,Morales,794-714-7893,5/1/22 11:20,8/1/22 3:06,2,FALSE
26,Hugo,Montoya,800-146-1764,5/8/22 21:03,5/27/22 11:28,3,FALSE
44,Brian,Navarro,682-181-5824,11/30/22 15:35,8/8/22 3:39,1,TRUE
9,Grant,Phillips,232-400-7626,2/9/22 16:41,3/21/22 22:04,1,TRUE
8,Callum,Jones,398-590-9831,12/28/22 19:48,2/7/22 12:37,0,TRUE
25,Brandon,Holland,628-880-9998,8/10/22 7:56,12/25/22 2:11,0,FALSE
22,Nathan,Mullins,719-391-4260,5/5/22 9:44,10/12/22 9:23,1,TRUE
28,Ashton,Rogers,436-055-7786,12/1/22 1:37,1/13/22 7:14,3,TRUE
43,Maximiliano,Wise,556-826-1520,1/11/22 14:14,12/16/22 22:06,0,TRUE
321,df,dfas,dasf,2/22/23/ 13:13,3/33/23/13:13,3,FALSE
=======
38,Gianni,Castillo,537-545-7724,07-04-2022,07-16-2022,0,False
66,John,Webster,266-470-4739,10-11-2022,10-12-2022,4,False
84,,,,,,,True
88,Memphis,Liu,265-897-9114,08-21-2022,08-26-2022,4,False
100,,,,,,,True
61,,,,,,,True
59,Maddox,Simpson,654-928-7361,08-16-2022,09-02-2022,1,False
6,,,,,,,True
46,Adan,Curtis,359-064-0718,12-21-2022,12-24-2022,1,False
43,,,,,,,True
97,Kyrie,Fleming,125-395-9571,04-03-2022,04-12-2022,2,False
86,,,,,,,True
49,,,,,,,True
57,Theodore,Boyd,885-942-4720,06-05-2022,06-07-2022,1,False
80,,,,,,,True
41,Elliot,Brewer,768-136-7552,11-16-2022,12-01-2022,4,False
54,Colin,Duncan,966-785-2511,12-15-2022,12-17-2022,3,False
26,,,,,,,True
52,,,,,,,True
75,,,,,,,True
87,,,,,,,True
16,,,,,,,True
8,Jayce,Wolf,525-173-0186,07-03-2022,07-24-2022,0,False
21,,,,,,,True
93,,,,,,,True
5,Alex,Montgomery,503-706-0685,06-07-2022,06-23-2022,2,False
4,Cayden,Simmons,285-328-3644,04-10-2022,05-27-2022,4,False
13,Patrick,Hart,247-171-2927,01-17-2022,02-12-2022,3,False
82,Marcus,Chen,872-115-6599,02-12-2022,03-15-2022,1,False
98,,,,,,,True
73,Avery,Hoffman,860-843-0572,01-06-2022,01-24-2022,2,False
76,Levi,Contreras,712-704-6832,04-11-2022,05-08-2022,1,False
2,Tristan,Spencer,408-252-1468,10-05-2022,10-23-2022,3,False
28,,,,,,,True
9,,,,,,,True
67,,,,,,,True
83,,,,,,,True
74,,,,,,,True
65,,,,,,,True
78,Braxton,Maldonado,946-692-5918,05-08-2022,05-12-2022,4,False
23,Sean,Ward,658-294-0534,04-16-2022,04-29-2022,4,False
51,,,,,,,True
79,Gianni,Marquez,686-943-1538,10-22-2022,11-01-2022,4,False
10,Carlos,Graves,258-524-4069,10-10-2022,10-28-2022,2,False
47,Kasen,Caldwell,261-860-1821,03-27-2022,04-19-2022,2,False
60,,,,,,,True
99,,,,,,,True
27,,,,,,,True
30,Jude,Newton,465-812-8197,09-20-2022,10-23-2022,2,False
1,Hector,Mcgee,311-749-9737,07-21-2022,08-22-2022,4,False
20,,,,,,,True
24,Archie,Simpson,729-026-2625,06-12-2022,06-18-2022,3,False
37,,,,,,,True
22,,,,,,,True
53,,,,,,,True
25,John,Moss,776-965-5594,01-19-2022,01-29-2022,1,False
31,Bryce,Schwartz,438-066-3565,02-18-2022,02-19-2022,1,False
85,Elijah,Owens,879-318-8380,09-24-2022,10-17-2022,2,False
90,,,,,,,True
3,,,,,,,True
94,,,,,,,True
68,Miguel,Joseph,473-448-7684,05-24-2022,06-22-2022,2,False
70,,,,,,,True
36,Omar,Dunn,212-278-2712,11-17-2022,11-18-2022,1,False
44,,,,,,,True
14,Simon,Li,206-667-3891,09-23-2022,10-03-2022,3,False
95,Manuel,Day,448-629-9420,03-29-2022,04-24-2022,4,False
81,,,,,,,True
56,,,,,,,True
58,,,,,,,True
7,,,,,,,True
63,Malachi,Schwartz,657-611-1402,03-29-2022,04-08-2022,2,False
32,,,,,,,True
33,Greyson,Jennings,190-290-4405,05-25-2022,05-29-2022,4,False
42,Charles,Castillo,278-758-7715,03-05-2022,03-10-2022,4,False
89,,,,,,,True
72,,,,,,,True
62,Ruben,Garza,794-379-4521,09-10-2022,09-23-2022,0,False
18,,,,,,,True
96,,,,,,,True
15,Lorenzo,Chang,295-464-1725,12-21-2022,12-23-2022,4,False
77,,,,,,,True
92,Chase,Cummings,769-899-9774,12-08-2022,12-27-2022,3,False
39,Maximus,Pacheco,217-787-6613,05-07-2022,06-04-2022,4,False
91,Marcus,Castro,847-891-9505,01-15-2022,02-16-2022,2,False
11,Ivan,Pham,739-822-0110,03-19-2022,04-09-2022,4,False
50,,,,,,,True
71,,,,,,,True
12,,,,,,,True
19,Emanuel,Vaughn,100-556-3928,01-18-2022,01-28-2022,1,False
48,Colson,Vaughn,475-477-4421,05-13-2022,05-18-2022,4,False
17,Richard,Harrington,843-041-6213,01-04-2022,01-21-2022,4,False
45,Jaxton,Moran,428-178-2210,10-04-2022,10-27-2022,2,False
40,Justin,Bates,749-910-0414,01-15-2022,01-17-2022,1,False
29,Ryker,Chapman,908-185-2350,12-16-2022,12-17-2022,3,False
69,Leonel,Perkins,954-413-8162,02-05-2022,02-27-2022,2,False
64,Malachi,Murphy,961-834-8341,02-02-2022,03-09-2022,2,False
35,,,,,,,True
55,,,,,,,True
34,Karter,Cortez,328-472-4636,01-27-2022,02-03-2022,4,False
>>>>>>> 8d2d8cfb7255b92a51703eb3964bf38ecc4252db
